word1,word2,count
los,angeles,364
super,bowl,335
last,year,317
last,season,303
year,old,285
new,york,231
new,orleans,219
pga,tour,219
new,england,198
kansa,city,187
first,time,177
free,agent,171
ap,nfl,150
first,round,133
major,league,122
regular,season,117
home,run,114
one,year,112
running,back,112
championship,game,107
