word1,word2,count
master,tournament,638
tournament,master,579
master,golf,569
golf,master,523
themasters,golf,334
golf,themasters,324
master,live,322
tournament,golf,194
golf,tournament,192
master,themasters,192
tournament,live,178
golf,course,177
golf,club,175
master,stream,165
day,golf,160
themasters,master,155
week,master,153
master,augusta,151
master,week,151
master,watch,143
