word,count
year,6574
one,5606
time,4981
new,4550
game,4296
team,4232
first,3584
two,3326
player,3285
season,3094
last,3036
people,2998
also,2866
get,2535
state,2494
could,2397
day,2368
sport,2221
school,2186
even,2063
