word,count
golf,2575
master,1353
themasters,818
tournament,636
lpga,511
augusta,326
day,296
week,248
one,218
today,211
time,210
live,209
amp,204
pgatour,197
course,192
club,189
new,187
great,184
year,181
pga,179
