word1,word2,count
hit,run,112
run,hit,110
two,run,80
run,two,76
two,hit,75
hit,inning,72
hit,two,71
run,inning,69
run,three,51
inning,hit,50
run,four,46
two,inning,46
inning,run,45
hit,four,44
hit,five,42
hit,three,42
run,five,37
run,home,35
inning,two,33
year,season,33
