word1,word2,count
nba,basketball,298
basketball,nba,278
nba,playoff,234
playoff,nba,231
nba,nbaplayoffs,169
ncaa,basketball,128
nbaplayoffs,nba,112
nba,draft,99
basketball,ncaa,92
playoff,basketball,91
basketball,playoff,87
draft,nba,82
basketball,player,77
player,basketball,76
basketball,national,64
playoff,nbaplayoffs,62
nba,round,59
player,nba,57
basketball,news,56
nba,national,56
