word,count
basketball,831
nba,774
nbaplayoffs,292
playoff,264
ncaa,252
player,129
game,125
draft,122
team,109
coach,107
first,105
round,96
one,93
sport,92
year,92
season,83
amp,81
national,80
new,79
time,78
