word1,word2,count
mr,said,703
new,york,600
year,last,449
season,last,414
year,million,397
year,said,391
game,season,344
season,game,343
new,time,335
one,year,335
year,one,330
year,season,322
one,said,317
season,year,303
time,year,302
time,new,299
team,player,294
player,team,293
mr,year,291
year,time,291
