word,count
golf,1150
master,815
themasters,444
tournament,370
live,182
augusta,162
day,151
lpga,125
today,121
watch,119
stream,111
pgatour,108
round,106
one,99
time,95
pga,94
year,80
course,79
great,79
amp,77
