word1,word2,count
game,season,179
season,game,176
point,game,107
year,last,99
game,point,95
game,playoff,93
season,charger,92
season,playoff,92
season,regular,89
year,season,88
first,game,87
team,game,87
season,year,86
game,team,84
game,first,83
game,charger,82
two,run,81
two,hit,79
first,season,75
team,season,70
