word1,word2,count
new,york,64
new,city,50
new,gun,31
new,time,25
time,new,24
also,gun,23
team,coach,23
team,year,23
year,team,23
new,team,21
one,team,21
team,game,21
new,one,20
team,one,20
team,season,20
two,one,20
game,season,19
one,new,19
one,two,19
season,team,19
