word,count
nfl,1316
draft,244
viking,139
player,134
team,128
year,114
get,84
one,83
football,81
game,80
think,78
best,67
buckybrooks,67
superbowl,66
verizon,66
atlantafalcons,62
good,56
guy,56
thielen,56
top,54
