word,count
nfl,1350
golf,1169
baseball,954
nba,857
basketball,851
master,833
mlb,554
game,469
themasters,457
tournament,419
draft,372
player,364
year,359
one,346
team,343
playoff,327
get,309
first,297
nbaplayoffs,294
day,285
